施設名称,緯度,経度,
北加賀屋交番,34.6221651,135.4756455,
天神橋北交番,34.6923756,135.5120158,
瓜破警ら連絡所,34.6022069,135.5550541,
瓜破西交番,34.6072644,135.5466776,
加美北交番,34.635593,135.563591,
加美交番,34.626199,135.5643861,
加美南交番,34.6218191,135.5722883,
川辺交番,34.5993221,135.5680923,
喜連交番,34.6110233,135.5554826,
長原警ら連絡所,34.6062533,135.5766487,
長吉六反交番,34.6079712,135.583665,
西喜連交番,34.6126831,135.5440547,
平野駅前交番,34.6311201,135.55129,
平野公園交番,34.623288,135.5587058,
平野西交番,34.6207321,135.5452789,
阪急東通交番,34.7030541,135.5005482,
大淀南交番,34.702035,135.4845503,
さざなみ交番,34.7130379,135.5163749,
天神橋七丁目交番,34.71124001,135.5116265,
本庄交番,34.713903,135.5052805,
扇町公園交番,34.7037723,135.5077073,
大阪駅交番,34.70287097,135.4952883,
黒崎町交番,34.7074921,135.5090218,
芝田交番,34.7051585,135.4989878,
曽根崎二丁目交番,34.6991462,135.5005792,
天神橋五丁目交番,34.7076638,135.5120421,
天神橋四丁目交番,34.7047232,135.5114782,
西梅田交番,34.6991008,135.4926863,
大江橋交番,34.6951686,135.5014698,
南森町交番,34.6978681,135.510442,
渡辺橋交番,34.6948381,135.4954567,
加島交番,34.7290182,135.457774,
神崎川交番,34.7313057,135.4735569,
新大阪駅交番,34.732924,135.4992196,
新北野交番,34.716346,135.476805,
十三東交番,34.7190289,135.483533,
田川交番,34.7225062,135.4724978,
塚本交番,34.714109,135.4686313,
西中島交番,34.725815,135.5000281,
北消防署梅田出張所,34.69914514,135.4970277,
北消防署南森町出張所,34.69598,135.51042,
都島消防署高倉出張所,34.71726,135.53029,
都島消防署東野田出張所,34.69529165,135.5263529,
東淀川消防署,34.74014,135.5304,
城東警察署,34.700373,135.544118,
消防局庁舎（九条）,34.67176,135.47543,
都島消防署艇庫,34.69897,135.52357,
消防局生野分室,34.65303453,135.53958,
平野消防署仮設倉庫,34.60254874,135.5798452,
高度専門教育訓練センター（東大阪市）,34.69048388,135.5965536,
航空隊（八尾市）,34.59872634,135.5952693,
西消防署,34.67032041,135.4736789,
,,,
